name	lng	lat	population
Athens	Athens	23.71622	37.97945	664046
Barcelona	Barcelona	2.15899	41.38879	1621537
Brussels	Brussels	4.34878	50.85045	1019022
Calais	Calais	1.85635	50.95194	74433
Cherbourg	Cherbourg-Octeville	-1.61636	49.63984	26655
Cologne	Cologne	6.95	50.93333	963395
Copenhagen	Copenhagen	12.56553	55.67594	1153615
Geneva	Geneva	6.14569	46.20222	183981
Gibraltar	Gibraltar	-5.35257	36.14474	26544
Hamburg	Hamburg	10.01534	53.57532	1739117
Hook of Holland	Hoek van Holland	4.13333	51.9775	9400
Lisbon	Lisbon	-9.13333	38.71667	517802
Lyons	Lyon	4.84671	45.74846	472317
Madrid	Madrid	-3.70256	40.4165	3255944
Marseilles	Marseille	5.38107	43.29695	794811
Milan	Milan	9.18951	45.46427	1236837
Munich	Munich	11.57549	48.13743	1260391
Paris	Paris	2.3488	48.85341	2138551
Rome	Rome	12.51133	41.89193	2318895
Stockholm	Stockholm	18.0649	59.33258	1253309
Vienna	Vienna	16.37208	48.20849	1691468
