"abund"	"area"	"yr.isol"	"dist"	"ldist"	"graze"	"alt"	"l10dist"	"l10ldist"	"l10area"
5.3	0.1	1968	39	39	2	160	1.5910646070265	1.5910646070265	-1
2	0.5	1920	234	234	5	60	2.36921585741014	2.36921585741014	-0.301029995663981
1.5	0.5	1900	104	311	5	140	2.01703333929878	2.49276038902684	-0.301029995663981
17.1	1	1966	66	66	3	160	1.81954393554187	1.81954393554187	0
13.8	1	1918	246	246	5	140	2.39093510710338	2.39093510710338	0
14.1	1	1965	234	285	3	130	2.36921585741014	2.45484486000851	0
3.8	1	1955	467	467	5	90	2.66931688056611	2.66931688056611	0
2.2	1	1920	284	1829	5	60	2.45331834004704	3.26221370547642	0
3.3	1	1965	156	156	4	130	2.19312459835446	2.19312459835446	0
3	1	1900	311	571	5	130	2.49276038902684	2.75663610824585	0
27.6	2	1926	66	332	3	210	1.81954393554187	2.52113808370404	0.301029995663981
1.8	2	1890	93	93	5	160	1.96848294855394	1.96848294855394	0.301029995663981
21.2	2	1973	39	39	2	210	1.5910646070265	1.5910646070265	0.301029995663981
14.6	2	1972	402	402	1	210	2.60422605308447	2.60422605308447	0.301029995663981
8	2	1900	259	259	5	120	2.41329976408125	2.41329976408125	0.301029995663981
3.5	2	1900	130	623	5	145	2.11394335230684	2.79448804665917	0.301029995663981
29	3	1962	26	26	3	110	1.41497334797082	1.41497334797082	0.477121254719662
2.9	3	1965	26	26	3	140	1.41497334797082	1.41497334797082	0.477121254719662
24.3	4	1960	40	40	3	190	1.60205999132796	1.60205999132796	0.602059991327962
19.4	4	1953	259	259	2	90	2.41329976408125	2.41329976408125	0.602059991327962
24.4	4	1973	234	519	2	220	2.36921585741014	2.71516735784846	0.602059991327962
5	4	1923	26	2205	5	120	1.41497334797082	3.34340859380386	0.602059991327962
15.8	5	1965	39	39	3	130	1.5910646070265	1.5910646070265	0.698970004336019
25.3	5	1967	372	372	1	100	2.5705429398819	2.5705429398819	0.698970004336019
19.5	6	1890	93	226	3	170	1.96848294855394	2.3541084391474	0.778151250383644
20.9	6	1960	159	1009	3	150	2.20139712432045	3.00389116623691	0.778151250383644
16.3	7	1965	285	882	3	130	2.45484486000851	2.94546858513182	0.845098040014257
18.8	7	1960	133	133	4	210	2.12385164096709	2.12385164096709	0.845098040014257
19.9	8	1973	266	266	4	120	2.42488163663107	2.42488163663107	0.903089986991944
13	9	1910	350	1868	5	90	2.54406804435028	3.27137687189407	0.954242509439325
6.8	10	1962	337	519	3	110	2.52762990087134	2.71516735784846	1
21.7	11	1960	27	27	4	175	1.43136376415899	1.43136376415899	1.04139268515823
27.8	12	1963	159	159	4	110	2.20139712432045	2.20139712432045	1.07918124604762
26.8	12	1960	133	133	4	200	2.12385164096709	2.12385164096709	1.07918124604762
16.6	13	1968	146	146	2	190	2.16435285578444	2.16435285578444	1.11394335230684
30.4	15	1966	146	398	3	120	2.16435285578444	2.59988307207369	1.17609125905568
11.5	17	1920	389	2595	5	100	2.58994960132571	3.41413736218448	1.23044892137827
26	18	1966	40	3188	2	190	1.60205999132796	3.50351831272408	1.25527250510331
25.7	19	1973	266	1302	4	150	2.42488163663107	3.11461098423217	1.27875360095283
12.7	22	1918	311	2672	5	90	2.49276038902684	3.42683645380351	1.34242268082221
23.5	26	1963	597	597	1	140	2.77597433112937	2.77597433112937	1.41497334797082
24.9	29	1965	545	770	3	130	2.73639650227664	2.88649072517248	1.46239799789896
29	32	1974	208	208	1	190	2.31806333496276	2.31806333496276	1.50514997831991
28.3	34	1965	66	345	1	110	1.81954393554187	2.53781909507327	1.53147891704226
28.3	40	1962	285	178	2	120	2.45484486000851	2.25042000230889	1.60205999132796
32	44	1960	93	93	3	190	1.96848294855394	1.96848294855394	1.64345267648619
37.7	48	1928	259	1297	3	120	2.41329976408125	3.11293997608408	1.68124123737559
39.6	49	1972	1427	1557	1	180	3.15442397311465	3.19228861256812	1.69019608002851
29.6	50	1967	398	1461	1	140	2.59988307207369	3.1646502159343	1.69897000433602
31	57	1963	467	467	1	165	2.66931688056611	2.66931688056611	1.75587485567249
34.4	96	1976	39	519	2	175	1.5910646070265	2.71516735784846	1.98227123303957
27.3	108	1964	402	4426	1	70	2.60422605308447	3.64601140959124	2.03342375548695
30.5	134	1964	467	2213	1	160	2.66931688056611	3.34498141392726	2.12710479836481
33	144	1940	146	319	1	190	2.16435285578444	2.50379068305718	2.15836249209525
29.5	973	1970	337	1323	1	190	2.52762990087134	3.1215598441875	2.98811284026835
30.9	1771	1933	332	332	1	260	2.52113808370404	2.52113808370404	3.24821856119008
